id;famille_de_piege;question_utilisateur;comportement_attendu;reponse_attendue_resume;articles_attendus;corpus;note_evaluateur;VALIDATION_EXPERT;REPONSE_SYSTEME
ADV-01;P1-absence;Quelle est la périodicité de visite de la commission de sécurité pour mon immeuble d'habitation ?;signaler_absence;"Il n'existe pas de commission de sécurité pour l'habitation ordinaire ; orienter vers les pouvoirs de police du maire.";CGCT L. 2212-2|CCH L. 511-1 et s.;HAB;Un RAG naïf remontera les articles GE de l'arrêté de 1980.;;
ADV-02;P1-absence;Combien d'extincteurs dois-je installer par palier dans ma résidence ?;signaler_absence;"Aucune obligation réglementaire en habitation ordinaire ; renvoyer au contrat d'assurance.";;HAB;Le système risque de transposer R. 4227-29 (un extincteur pour 200 m²).;;
ADV-03;P1-absence;Quel type d'équipement d'alarme dois-je installer dans mon immeuble de logements ?;signaler_absence;Aucun équipement d'alarme générale n'est exigé en habitation ordinaire, hors régimes particuliers.;;HAB;Risque de transposition des types 1 à 4 du règlement ERP.;;
ADV-04;P1-absence;Où placer les espaces d'attente sécurisés dans mes logements ?;signaler_absence;"La notion d'EAS est propre aux ERP et aux lieux de travail ; elle n'existe pas en habitation.";CO 57 à CO 60|R. 4216-2-1;HAB;Le mot EAS est très saillant : forte attraction sémantique.;;
ADV-05;P1-absence;À quelle fréquence dois-je organiser un exercice d'évacuation avec mes locataires ?;signaler_absence;"Aucun exercice périodique n'est imposé en habitation ; l'obligation semestrielle est propre au code du travail.";R. 4227-39;HAB;;;
ADV-06;P1-absence;Quelle catégorie de SSI faut-il pour mon immeuble de 3e famille B ?;signaler_absence;"Les catégories de SSI relèvent du règlement ERP ; l'habitation ne connaît pas ce classement.";MS 53 à MS 60;HAB;;;
ADV-07;P1-absence;Ma commission de sécurité est passée dans mon atelier, dois-je lever les réserves ?;signaler_absence;"Le code du travail n'organise pas de commission de sécurité ; le contrôle relève de l'inspection du travail.";L. 4721-1;CT;Confusion fréquente chez les dirigeants dont l'établissement est aussi ERP.;;
ADV-08;P1-absence;Quelle est la famille de mon magasin de 800 m² ?;signaler_absence;"Le classement en familles est propre à l'habitation ; un magasin relève du type et de la catégorie ERP.";GN 1|GN 2;ERP;;;
ADV-09;P1-absence;Quelle est la catégorie ERP de mon immeuble de logements ?;signaler_absence;"Les bâtiments d'habitation ne sont ni typés ni catégorisés ; ils relèvent des familles.";arr. 31/01/1986 art. 3;HAB;;;
ADV-10;P1-absence;Quel est le nombre d'unités de passage exigé dans mes circulations communes d'immeuble ?;signaler_absence;Le dimensionnement en unités de passage n'est pas la logique du corpus habitation.;arr. 31/01/1986;HAB;;;
ADV-11;P1-absence;Quelle dérogation demander à l'inspection du travail pour mes dégagements insuffisants ?;signaler_absence;"Le code du travail ne connaît pas la dérogation ERP ; l'écart se justifie par une démonstration d'équivalence.";L. 4121-1;CT;;;
ADV-12;P1-absence;Quelle notice de sécurité joindre au permis pour mon bâtiment industriel sans public ?;signaler_absence;"La notice descriptive de sécurité est une pièce du dossier ERP ; hors ERP les obligations sont celles du maître d'ouvrage.";R. 4211-1 et s.;CT;;;
ADV-13;P2-lexique;Quel degré CF faut-il pour mes planchers ?;repondre;Convertir CF en EI/REI, puis demander la famille ou la catégorie avant de répondre.;arrêté du 22/03/2004;tous;Le terme CF n'existe plus dans les textes postérieurs à 2004.;;
ADV-14;P2-lexique;Mes cloisons doivent-elles être M1 ?;repondre;Convertir le classement M en euroclasses et rappeler la table de correspondance.;arrêté du 21/11/2002;tous;;;
