id;theme;terme_prefere;definition;synonymes_usage;termes_obsoletes;faux_amis;corpus_ERP;corpus_CT;corpus_HAB;autres_sources;variables_determinantes;niveau_normativite;stade;profils;note_preventionniste;confiance_reference;VALIDATION_EXPERT
NOT-0001;T1 — Classement, champ d'application, seuils;type d'exploitation;Lettre caractérisant la nature de l'activité d'un ERP et commandant les dispositions particulières applicables.;nature de l'activité | usage du bâtiment | c'est un magasin / un bureau / une salle;;;GN 1 | GN 2;;;;type_erp | presence_public;reglementaire;conception | exploitation;architecte;Sans type ni catégorie, aucune recherche ERP n'aboutit : presque tout est conditionnel.;a_verifier;
NOT-0002;T1 — Classement, champ d'application, seuils;catégorie;Classe de 1re à 5e déterminée par l'effectif admissible, commandant l'étendue des exigences.;quelle catégorie | je suis en combien | c'est un petit ERP;;catégorie [ICPE] : chez un dirigeant, désigne souvent un régime ICPE (déclaration/enregistrement/autorisation) | catégorie [HAB] : en habitation la notion pertinente est la famille, pas la catégorie;GN 1 | GN 2;;;CCH R. 143-19 (ex-R. 123-19);categorie_erp | effectif_public;reglementaire;conception | exploitation;architecte | dirigeant;PIÈGE N°1 : faire préciser le corpus avant de chercher le mot « catégorie ».;a_verifier;
NOT-0003;T1 — Classement, champ d'application, seuils;effectif théorique du public;Effectif calculé selon les règles propres à chaque type, servant au classement et au calcul des dégagements.;combien de personnes je peux recevoir | la jauge | capacité d'accueil;;;GN 1 | GN 2 | dispositions particulières au type;;;;effectif_public | type_erp;reglementaire;conception | exploitation;architecte;Trois modes possibles : déclaration, ratio surfacique, nombre de places. Ne pas confondre avec l'effectif du personnel.;a_verifier;
NOT-0004;T1 — Classement, champ d'application, seuils;effectif (décompte code du travail);Effectif des travailleurs décompté selon les règles du code du travail, déclenchant certains seuils de prévention.;combien de salariés | mes effectifs | on est une petite boîte;;;;L. 1111-2 | L. 1111-3 | R. 4227-34 | R. 4227-37;;;effectif_travailleurs;reglementaire;conception | exploitation;dirigeant;Périmètre différent de l'effectif ERP : intérimaires, alternants et mis à disposition suivent des règles propres.;a_verifier;
NOT-0005;T1 — Classement, champ d'application, seuils;famille;Classe (1re, 2e, 3e A, 3e B, 4e) des bâtiments d'habitation déterminée par le nombre d'étages, la hauteur du plancher bas et l'accès des secours.;mon immeuble est en quelle catégorie | petit collectif | grande tour;;;;;arr. 31/01/1986 art. 3;;famille_habitation | nb_niveaux | hauteur_plancher_bas;reglementaire;conception | exploitation;gestionnaire | architecte;Équivalent fonctionnel de la catégorie ERP. Le gestionnaire dit souvent « catégorie » : reformuler.;haute;
NOT-0006;T1 — Classement, champ d'application, seuils;groupement d'établissements;Ensemble d'établissements de types divers réunis dans un même bâtiment ou juxtaposés, classé et isolé selon des règles propres.;centre commercial | plusieurs activités dans le même bâtiment | bâtiment mixte;;;GN 2 | GN 3 | CO 6 à CO 10;;;;type_erp | categorie_erp;reglementaire;conception | exploitation;architecte;Ne pas confondre avec l'isolement vis-à-vis des tiers, qui suppose des exploitations sans lien.;a_verifier;
NOT-0007;T1 — Classement, champ d'application, seuils;tiers contigu ou superposé;Occupant distinct, contigu ou superposé, vis-à-vis duquel un degré d'isolement est exigé.;le voisin | mitoyenneté | le logement au-dessus | le commerce en pied d'immeuble;;;CO 6 | CO 7 | CO 8 | CO 9 | CO 10;;arr. 31/01/1986 art. 5;;corpus | type_erp | famille_habitation;reglementaire;conception | exploitation;architecte | gestionnaire;L'exigence est renforcée lorsque le tiers relève de l'habitation ou d'une ICPE.;a_verifier;
NOT-0008;T1 — Classement, champ d'application, seuils;immeuble de grande hauteur;Bâtiment dont le plancher bas du dernier niveau dépasse 50 m en habitation, 28 m dans les autres cas, soumis à un régime autonome.;tour | IGH | immeuble de plus de 28 mètres;;;;;;CCH L. 146-1 et s. | CCH R. 146-1 et s. | arrêté du 30/12/2011;hauteur_plancher_bas;reglementaire;conception | exploitation;architecte | gestionnaire;Le régime IGH se substitue à l'ERP pour les dispositions générales et impose un service de sécurité permanent.;haute;
NOT-0009;T1 — Classement, champ d'application, seuils;application aux bâtiments existants;Régime déterminant dans quelle mesure les dispositions nouvelles s'appliquent à un bâtiment déjà édifié et ce que déclenchent des travaux.;dois-je tout remettre aux normes | mon bâtiment date de 1985 | grand-père du bâtiment;;;GN 6 | GN 7 | GN 10;R. 4211-1 et s.;arr. 31/01/1986 — dispositions transitoires;;existant_ou_neuf | date_effet;reglementaire;conception | exploitation;architecte | dirigeant | gestionnaire;Question systématiquement sous-estimée. La réponse dépend de la date du permis, pas de la date de la demande.;a_verifier;
NOT-0010;T1 — Classement, champ d'application, seuils;dérogation;Autorisation de s'écarter d'une prescription, accordée après avis motivé de la commission de sécurité et assortie de mesures compensatoires.;j'ai une dérogation | on peut y couper | faire une demande spéciale;;;GN 4 | GN 5;;;CCH R. 143-11 (ex-R. 123-13);type_erp | categorie_erp;reglementaire;conception | exploitation;architecte;N'existe pas en tant que telle en code du travail : on y raisonne en démonstration d'équivalence du niveau de sécurité.;a_verifier;
