id;profil;question_utilisateur;reformulation_normative;corpus_attendu;articles_attendus;notions_attendues;notions_ids;variables_requises;comportement_attendu;difficulte;commentaire_evaluateur;VALIDATION_EXPERT;REPONSE_SYSTEME
REF-A-01;architecte;Mon bâtiment abrite un restaurant, une salle de spectacle et des bureaux : c'est quoi comme ERP ?;Selon quels critères l'établissement est-il classé par type et par catégorie, et comment sont traités les établissements comportant plusieurs types ?;ERP;GN 1|GN 2|GN 3;type d'exploitation|catégorie|groupement d'établissements;NOT-0001|NOT-0002|NOT-0006;type_erp|effectif_public;demander_precision;2;L'effectif de chaque activité doit être connu avant toute réponse.;;
REF-A-02;architecte;Qu'est-ce qui change entre une 5e catégorie et une 1re ?;Quelles dispositions distinguent les établissements de la 5e catégorie de ceux des quatre premières catégories ?;ERP;GN 1|GN 2|CCH R. 143-19;catégorie|effectif théorique du public;NOT-0002|NOT-0003;categorie_erp;repondre;1;Question de cadrage, réponse structurelle.;;
REF-A-03;architecte;Quels textes s'appliquent exactement à mon projet ?;Quelles dispositions générales, particulières au type et, le cas échéant, du code du travail sont applicables ?;ERP|CT;GN 1|GN 2|R. 4211-1 et s.;type d'exploitation|catégorie;NOT-0001|NOT-0002;type_erp|presence_travailleurs;orienter_corpus;2;Test du réflexe de superposition ERP / code du travail.;;
REF-A-04;architecte;En réhabilitation, jusqu'où puis-je garder l'existant non conforme ?;Dans quelles conditions les dispositions sont-elles applicables aux établissements existants et quels travaux déclenchent leur application ?;ERP;GN 6|GN 7|GN 10;application aux bâtiments existants;NOT-0009;existant_ou_neuf|date_effet;demander_precision;3;Sans date de permis, aucune réponse fiable.;;
REF-A-05;architecte;Si je dépasse 28 m je passe en IGH ?;À partir de quelle hauteur du plancher bas du dernier niveau l'établissement relève-t-il du régime des immeubles de grande hauteur ?;IGH|ERP;CCH L. 146-1 et s.|arrêté du 30/12/2011;immeuble de grande hauteur;NOT-0008;hauteur_plancher_bas;repondre;2;Attention au seuil différent en habitation (50 m).;;
REF-A-06;architecte;Atténuation, aggravation, dérogation : quelle différence ?;Dans quelles conditions des atténuations sont-elles accordées, des mesures aggravantes imposées ou une dérogation sollicitée ?;ERP;GN 4|GN 5|CCH R. 143-11;dérogation|mesure compensatoire;NOT-0010|NOT-0011;type_erp|categorie_erp;repondre;2;Terminer par l'orientation vers l'avis de commission.;;
REF-A-07;architecte;Comment se calcule l'effectif de mon ERP ?;Selon quel mode de détermination l'effectif théorique du public est-il calculé ?;ERP;GN 1|GN 2|dispositions particulières au type;effectif théorique du public;NOT-0003;type_erp;demander_precision;2;Le mode de calcul dépend du type.;;
REF-A-08;architecte;Le personnel compte-t-il dans l'effectif ?;Dans quels types l'effectif du personnel s'ajoute-t-il à celui du public ?;ERP;GN 1|dispositions particulières au type;effectif théorique du public|effectif (décompte code du travail);NOT-0003|NOT-0004;type_erp;demander_precision;2;Piège classique : la règle varie selon le type.;;
REF-A-09;architecte;Les réserves et bureaux comptent-ils dans l'effectif ?;Les locaux non accessibles au public sont-ils pris en compte dans la détermination de l'effectif théorique ?;ERP|CT;GN 1|R. 4211-1 et s.;effectif théorique du public;NOT-0003;type_erp;orienter_corpus;2;Ces locaux relèvent du code du travail.;;
REF-A-10;architecte;Puis-je plafonner l'effectif par un engagement de l'exploitant ?;Selon quelles modalités un effectif déclaré est-il rendu opposable à l'exploitant et contrôlé ?;ERP;GN 1|GE 2 et s.;effectif théorique du public|registre de sécurité;NOT-0003|NOT-0093;effectif_public;repondre;3;Réponse partiellement doctrinale : avis de commission.;;
REF-A-11;architecte;Il me faut quelle largeur de voie pompier ?;Quelles caractéristiques sont exigées pour les voies utilisables par les engins de secours et les voies échelles ?;ERP;CO 2|CO 3|CO 4|CO 5;voie engin|voie échelle|espace libre;NOT-0013|NOT-0014|NOT-0015;categorie_erp|hauteur_plancher_bas;repondre;1;Item de contrôle du rappel lexical de base.;;
REF-A-12;architecte;Combien de façades accessibles il me faut ?;Quel nombre de façades accessibles l'établissement doit-il présenter et selon quelle définition sont-elles décomptées ?;ERP;CO 2|CO 3;façade accessible;NOT-0016;categorie_erp;demander_precision;2;;;
REF-A-13;architecte;Mon bâtiment est mitoyen d'un logement : quel isolement ?;Quels degrés d'isolement sont exigés vis-à-vis des tiers contigus ou superposés ?;ERP|HAB;CO 6|CO 7|CO 8|CO 9|CO 10|arr. 31/01/1986 art. 5;tiers contigu ou superposé;NOT-0007;type_erp|famille_habitation;orienter_corpus;2;Double corpus obligatoire.;;
REF-A-14;architecte;Commerce en RDC et logements au-dessus : comment on traite ?;Selon quelles modalités l'isolement est-il assuré dans un bâtiment abritant un ERP et des locaux d'habitation ?;ERP|HAB;CO 6 à CO 10|arr. 31/01/1986 art. 5;tiers contigu ou superposé|famille;NOT-0007|NOT-0005;type_erp|famille_habitation;orienter_corpus;3;;;
REF-A-15;architecte;C'est quoi la règle du C+D ?;Dans quels cas la règle du C + D s'applique-t-elle au traitement des façades ?;ERP|HAB;CO 19|CO 20|CO 21|CO 22|instruction technique n° 249;propagation du feu par les façades;NOT-0018;type_erp|famille_habitation;repondre;2;Qualifier le niveau : interprétatif (IT).;;
REF-A-16;architecte;Je peux mettre un parking en sous-sol communiquant avec l'ERP ?;À quelles conditions un parc de stationnement couvert peut-il communiquer avec l'établissement ?;ERP;CO 6 à CO 10|dispositions particulières type PS;parc de stationnement couvert|tiers contigu ou superposé;NOT-0085|NOT-0007;surface_local|niveau_local;repondre;2;;;
REF-A-17;architecte;Quelle stabilité au feu pour ma structure ?;Quel degré de stabilité au feu est exigé des éléments porteurs ?;ERP;CO 11|CO 12;stabilité au feu des structures|résistance au feu;NOT-0021|NOT-0020;categorie_erp|hauteur_plancher_bas|nb_niveaux;demander_precision;2;Test du refus de répondre sans classement.;;
REF-A-18;architecte;R, E, I, REI : ça veut dire quoi et comment lire un PV ?;Quelles sont les correspondances entre les critères R, E, I et les anciennes appellations, et quelles conditions un PV doit-il remplir ?;ERP|CT|HAB;arrêté du 22/03/2004;résistance au feu|procès-verbal de classement;NOT-0020|NOT-0022;date_effet;repondre;1;Item de correspondance lexicale pure.;;
REF-A-19;architecte;Je peux laisser ma charpente bois apparente ?;Dans quels cas des éléments de structure en bois ou en acier peuvent-ils être laissés apparents ?;ERP;CO 11|CO 12;stabilité au feu des structures|réaction au feu;NOT-0021|NOT-0023;categorie_erp|nb_niveaux;demander_precision;3;;;
REF-A-20;architecte;Comment traiter les percements dans les murs coupe-feu ?;Quelles dispositions sont exigées pour le franchissement des parois délimitant un volume protégé ?;ERP;CO 30|CO 31|CO 32|CO 33;calfeutrement de traversée|clapet coupe-feu|gaine technique;NOT-0025|NOT-0026|NOT-0027;corpus;repondre;1;;;
REF-A-21;architecte;Quels locaux sont des locaux à risques ?;Quels locaux sont classés à risques moyens ou importants et quelles exigences en découlent ?;ERP;CO 27|CO 28;local à risques particuliers;NOT-0024;nature_risque|surface_local;repondre;1;;;
REF-A-22;architecte;Comment choisir un revêtement de sol ou mural ?;Quelles exigences de réaction au feu s'appliquent aux revêtements de sol, muraux et de plafond ?;ERP;AM 1 à AM 8|arrêté du 21/11/2002;réaction au feu|procès-verbal de classement;NOT-0023|NOT-0022;type_erp|niveau_local;repondre;1;;;
REF-A-23;architecte;Et pour les faux plafonds, tentures et rideaux ?;Quelles exigences s'appliquent aux plafonds suspendus, tentures et éléments de décoration ?;ERP;AM 4|AM 1 à AM 8;plafond suspendu|réaction au feu;NOT-0028|NOT-0023;type_erp;repondre;2;;;
REF-A-24;architecte;Je peux faire une ITE avec un isolant combustible ?;Dans quelles conditions un système d'isolation thermique par l'extérieur comportant un isolant combustible est-il admis ?;ERP|HAB;instruction technique n° 249;système d'isolation thermique par l'extérieur|propagation du feu par les façades;NOT-0019|NOT-0018;type_erp|famille_habitation;repondre;3;Niveau interprétatif à signaler.;;
REF-A-25;architecte;Le mobilier et les stands sont-ils concernés ?;Le gros mobilier et les agencements sont-ils soumis à des exigences de réaction au feu et d'implantation ?;ERP;AM 15 à AM 19;réaction au feu|maintien des dégagements libres;NOT-0023|NOT-0044;type_erp;repondre;2;;;
REF-A-26;architecte;Combien de sorties et quelle largeur pour mon effectif ?;Selon quelles règles le nombre et la largeur des dégagements sont-ils déterminés ?;ERP;CO 34|CO 35|CO 36|CO 38;dégagement|unité de passage;NOT-0034|NOT-0035;effectif_public;demander_precision;1;Item pivot du jeu : effectif obligatoire.;;
REF-A-27;architecte;Dégagement normal, accessoire, de secours : quelle différence ?;Quelles sont les définitions respectives des dégagements et dans quelle mesure chacun est-il comptabilisé ?;ERP;CO 34|CO 39|CO 41;dégagement|dégagement accessoire;NOT-0034|NOT-0036;effectif_public;repondre;2;;;
REF-A-28;architecte;Quelle distance maximale jusqu'à une sortie ?;Quelle est la distance maximale à parcourir, mesurée suivant l'axe des circulations ?;ERP;CO 43;distance à parcourir|dégagement;NOT-0041|NOT-0034;type_erp|niveau_local;repondre;1;;;
REF-A-29;architecte;Mes portes doivent s'ouvrir vers l'extérieur ?;À partir de quel effectif les portes s'ouvrent-elles dans le sens de l'évacuation ?;ERP|CT;CO 45|R. 4227-1 et s.;sens d'ouverture des portes;NOT-0042;effectif_public|effectif_travailleurs;repondre;1;Double corpus attendu.;;
REF-A-30;architecte;Je peux mettre du contrôle d'accès sur les issues de secours ?;Dans quelles conditions un dispositif de contrôle d'accès peut-il équiper une porte de sortie de secours ?;ERP|CT;CO 46|R. 4227-4|R. 4227-5;verrouillage des issues|dégagement;NOT-0043|NOT-0034;corpus|effectif_public;repondre;2;Le mot « issue de secours » doit être converti.;;
REF-A-31;architecte;Mes escaliers doivent être encloisonnés ?;Quels escaliers doivent être encloisonnés, mis à l'air libre ou désenfumés ?;ERP;CO 50|CO 51|CO 52|CO 53|CO 55;escalier encloisonné|escalier à l'air libre;NOT-0038|NOT-0039;categorie_erp|nb_niveaux;demander_precision;2;;;
REF-A-32;architecte;Comment traiter un atrium sur trois niveaux ?;Selon quelles dispositions sont traités les volumes intéressant plusieurs niveaux ?;ERP;CO 24|CO 25|CO 26|instruction technique n° 263;volume libre intérieur|cloisonnement traditionnel|secteur;NOT-0032|NOT-0029|NOT-0030;type_erp|nb_niveaux;orienter_expertise;3;Relève souvent d'une ingénierie et d'un avis de commission.;;
REF-A-33;architecte;Dans quels cas j'ai droit à un escalier unique ?;Dans quels cas la desserte des niveaux par un escalier unique est-elle admise ?;ERP;CO 39|CO 40;escalier unique|dégagement;NOT-0040|NOT-0034;categorie_erp|effectif_public|nb_niveaux;demander_precision;2;;;
REF-A-34;architecte;Quels locaux dois-je désenfumer ?;Quels locaux et circulations doivent être désenfumés et à partir de quels seuils ?;ERP;DF 4|DF 5|DF 6|instruction technique n° 246;désenfumage|local sans ouverture sur l'extérieur;NOT-0048|NOT-0052;surface_local|niveau_local;repondre;1;;;
REF-A-35;architecte;Naturel ou mécanique, comment je choisis ?;Selon quels critères le désenfumage naturel ou mécanique est-il retenu et quels taux sont exigés ?;ERP;DF 4 et s.|instruction technique n° 246;désenfumage|surface utile d'évacuation des fumées|amenée d'air;NOT-0048|NOT-0050|NOT-0051;surface_local|niveau_local;repondre;2;;;
REF-A-36;architecte;Comment intégrer les exutoires sans casser l'architecture ?;Quelles règles d'implantation, de surface et de commande s'appliquent aux exutoires et amenées d'air ?;ERP;DF 4 à DF 8|instruction technique n° 246;dispositif d'évacuation naturelle de fumées et de chaleur|amenée d'air;NOT-0049|NOT-0051;surface_local;repondre;2;La partie esthétique est hors périmètre : le signaler.;;
REF-A-37;architecte;Un atrium relève d'une approche particulière ?;Dans quels cas un volume de grande hauteur relève-t-il de dispositions particulières ou d'une ingénierie du désenfumage ?;ERP;instruction technique n° 246|instruction technique n° 263;volume libre intérieur|désenfumage;NOT-0032|NOT-0048;nb_niveaux;orienter_expertise;3;;;
REF-A-38;architecte;Où mettre la chaufferie et le TGBT ?;Quelles conditions d'implantation, d'isolement et de ventilation s'appliquent aux chaufferies et locaux électriques ?;ERP;CH 5 à CH 8|EL 4 à EL 8|CO 27|CO 28;local à risques particuliers;NOT-0024;nature_risque;repondre;2;;;
REF-A-39;architecte;Quelles exigences pour l'éclairage de sécurité ?;Quelles exigences s'appliquent à l'éclairage de sécurité d'évacuation et d'ambiance ?;ERP|CT;EC 7 à EC 15|R. 4227-13|R. 4227-14;éclairage de sécurité;NOT-0065;corpus|effectif_public;repondre;1;;;
REF-A-40;architecte;Comment traiter les gaines et les ascenseurs ?;Quelles dispositions régissent les gaines techniques et les installations d'ascenseurs ?;ERP;CO 30 à CO 33|chapitre AS;gaine technique|calfeutrement de traversée;NOT-0027|NOT-0025;nb_niveaux;repondre;2;;;
REF-A-41;architecte;Photovoltaïque, batteries, bornes de recharge : quelles contraintes ?;Quelles exigences complémentaires s'appliquent aux installations photovoltaïques, stockages par batteries et IRVE ?;ERP|HAB;CCH L. 113-11 et s.;infrastructure de recharge pour véhicules électriques|local à risques particuliers;NOT-0086|NOT-0024;niveau_local|date_effet;repondre;3;Corpus en évolution rapide : vérification de version impérative.;;
REF-A-42;architecte;Quelle catégorie de SSI pour mon projet ?;Quelle catégorie de système de sécurité incendie et quel type d'équipement d'alarme sont exigés ?;ERP;MS 53 à MS 60|MS 61 à MS 67;système de sécurité incendie|équipement d'alarme;NOT-0057|NOT-0055;type_erp|categorie_erp;demander_precision;2;;;
REF-A-43;architecte;Quelle place prévoir pour la centrale SSI ?;Quelles conditions d'implantation et d'accessibilité s'appliquent au centralisateur de mise en sécurité incendie ?;ERP;MS 53 à MS 60|norme NF S 61-931;centralisateur de mise en sécurité incendie|système de sécurité incendie;NOT-0058|NOT-0057;categorie_erp;repondre;2;Renvoi normatif : référencer sans restituer.;;
